zero_index	one_index	short_name	long_name	hex	rgba	color
0	1	TssA	Active TSS	#ff0000	rgba(255,0,0,1)	Red
1	2	PromU	Promoter Upstream TSS	#ff4500	rgba(255,69,0,1)	Orange Red
2	3	PromD1	Promoter Downstream TSS 1	#ff4500	rgba(255,69,0,1)	Orange Red
3	4	PromD2	Promoter Downstream TSS 2	#ff4500	rgba(255,69,0,1)	Orange Red
4	5	Tx5p	Transcribed - 5p preferential	#008000	rgba(0,128,0,1)	Green
5	6	Tx	Strong transcription	#008000	rgba(0,128,0,1)	Green
6	7	Tx3p	Transcribed - 3p preferential	#008000	rgba(0,128,0,1)	Green
7	8	TxWk	Weak transcription	#009600	rgba(0,150,0,1)	Lighter Green
8	9	TxReg	Transcribed + regulatory (Prom/Enh)	#c2e105	rgba(194,225,5,1)	Electric Lime
9	10	TxEnh5p	Transcribed 5p preferential and Enh	#c2e105	rgba(194,225,5,1)	Electric Lime
10	11	TxEnh3p	Transcribed 3p preferential and Enh	#c2e105	rgba(194,225,5,1)	Electric Lime
11	12	TxEnhW	Transcribed and Weak Enhancer	#c2e105	rgba(194,225,5,1)	Electric Lime
12	13	EnhA1	Active Enhancer 1	#ffc34d	rgba(255,195,77,1)	Orange
13	14	EnhA2	Active Enhancer 2	#ffc34d	rgba(255,195,77,1)	Orange
14	15	EnhAF	Active Enhancer Flank	#ffc34d	rgba(255,195,77,1)	Orange
15	16	EnhW1	Weak Enhancer 1	#ffff00	rgba(255,255,0,1)	Yellow
16	17	EnhW2	Weak Enhancer 2	#ffff00	rgba(255,255,0,1)	Yellow
17	18	EnhAc	Primary H3K27ac possible Enhancer	#ffff00	rgba(255,255,0,1)	Yellow
18	19	DNase	Primary DNase	#ffff66	rgba(255,255,102,1)	Lemon
19	20	ZNF/Rpts	ZNF genes + repeats	#66cdaa	rgba(102,205,170,1)	Aquamarine
20	21	Het	Heterochromatin	#8a91d0	rgba(138,145,208,1)	Light Purple
21	22	PromP	Poised Promoter	#e6b8b7	rgba(230,184,183,1)	Pink
22	23	PromBiv	Bivalent Promoter	#7030a0	rgba(112,48,160,1)	Dark Purple
23	24	ReprPC	Repressed Polycomb	#808080	rgba(128,128,128,1)	Gray
24	25	Quies	Quiescent/Low	#ffffff	rgba(255,255,255,1)	White
