zero_index	one_index	short_name	long_name	hex	rgba	color
0	1	TssA	Active TSS	#ff0000	rgba(255,0,0,1)	Red
1	2	TssFlnk	Flanking TSS	#ff4500	rgba(255,69,0,1)	Orange Red
2	3	TssFlnkU	Flanking TSS Upstream	#ff4500	rgba(255,69,0,1)	Orange Red
3	4	TssFlnkD	Flanking TSS Downstream	#ff4500	rgba(255,69,0,1)	Orange Red
4	5	Tx	Strong transcription	#008000	rgba(0,128,0,1)	Green
5	6	TxWk	Weak transcription	#006400	rgba(0,100,0,1)	DarkGreen
6	7	EnhG1	Genic Enhancer 1	#c2e105	rgba(194,225,5,1)	GreenYellow
7	8	EnhG2	Genic Enhancer 2	#c2e105	rgba(194,225,5,1)	GreenYellow
8	9	EnhA1	Active Enhancer 1	#ffc34d	rgba(255,195,77,1)	Orange
9	10	EnhA2	Active Enhancer 2	#ffc34d	rgba(255,195,77,1)	Orange
10	11	EnhWk	Weak Enhancer	#ffff00	rgba(255,255,0,1)	Yellow
11	12	ZNF/Rpts	ZNF genes + repeats	#66cdaa	rgba(102,205,170,1)	Medium Aquamarine
12	13	Het	Heterochromatin	#8a91d0	rgba(138,145,208,1)	PaleTurquoise
13	14	TssBiv	Bivalent/Poised TSS	#cd5c5c	rgba(205,92,92,1)	IndianRed
14	15	EnhBiv	Bivalent Enhancer	#bdb76b	rgba(189,183,107,1)	DarkKhaki
15	16	ReprPC	Repressed PolyComb	#808080	rgba(128,128,128,1)	Silver
16	17	ReprPCWk	Weak Repressed PolyComb	#c0c0c0	rgba(192,192,192,1)	Gainsboro
17	18	Quies	Quiescent/Low	#ffffff	rgba(255,255,255,1)	White
