id	Biosample.Summary	Biosample	GROUP	SECONDARY	COLOR	category	infoline	age	sex	type	origin	perturb	lifestage	Project2
BSS01667	subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	subcutaneous abdominal adipose tissue	Adipose		#AF5B39	Tissue	ADIPOSE TISSUE	49	female	tissue			adult	Roadmap 2015
BSS01665	subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	subcutaneous abdominal adipose tissue	Adipose		#AF5B39	Tissue	ADIPOSE TISSUE	25	female	tissue			adult	Roadmap 2015
BSS01666	subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	subcutaneous abdominal adipose tissue	Adipose		#AF5B39	Tissue	ADIPOSE TISSUE	41	female	tissue			adult	Roadmap 2015
BSS01668	subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	subcutaneous abdominal adipose tissue	Adipose		#AF5B39	Tissue	ADIPOSE TISSUE	59	female	tissue			adult	Roadmap 2015
BSS01669	subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	subcutaneous abdominal adipose tissue	Adipose		#AF5B39	Tissue	ADIPOSE TISSUE	81	female	tissue			adult	Roadmap 2015
BSS01393	omental fat pad female adult (51 year)	omental fat pad	Adipose		#AF5B39	Tissue	OMENTAL FAT PAD	51	female	tissue			adult	ENCODE
BSS00038	adipocyte	adipocyte	Adipose		#AF5B39	Tissue	ADIPOCYTE	unknown	unknown/mixed	in vitro differentiated cells			unknown/mixed	ENCODE
BSS00043	adipose tissue male adult (34 years)	adipose tissue	Adipose		#AF5B39	Tissue	ADIPOSE TISSUE	34	male	tissue			adult	Roadmap (Novel)
BSS01394	omental fat pad female adult (53 years)	omental fat pad	Adipose		#AF5B39	Tissue	OMENTAL FAT PAD	53	female	tissue			adult	ENCODE
BSS01397	osteoblast	osteoblast	Bone		#6FB7EB	Tissue	OSTEOBLAST	unknown	unknown/mixed	primary cell			unknown/mixed	ENCODE 2012
BSS00084	arm bone male embryo (81 day)	arm bone	Bone		#6FB7EB	Tissue	BONE ARM	81	male	tissue			embryonic	ENCODE
BSS00330	femur female embryo (98 days)	femur	Bone		#6FB7EB	Tissue	BONE FEMUR	98	female	tissue			embryonic	ENCODE
BSS00705	HS-5	HS-5	Bone		#6FB7EB	Tissue	BONE MARROW STROMA	unknown	male	cell line			adult	ENCODE
BSS01154	leg bone male embryo (81 day)	leg bone	Bone		#6FB7EB	Tissue	BONE LEG	81	male	tissue			embryonic	ENCODE
BSS01426	Peyer's patch female adult (53 years)	Peyer's patch	Digestive		#C58DAA	Tissue	PEYERS PATCH	53	female	tissue			adult	ENCODE
BSS01639	stomach female adult (53 years)	stomach	Digestive		#C58DAA	Tissue	STOMACH	53	female	tissue			adult	ENCODE
BSS00227	colonic mucosa female adult (56 years)	colonic mucosa	Digestive		#C58DAA	Tissue	COLON MUCOSA	56	female	tissue			adult	Roadmap (Novel)
BSS00228	colonic mucosa female adult (73 years)	colonic mucosa	Digestive		#C58DAA	Tissue	COLON MUCOSA	73	female	tissue			adult	Roadmap 2015
BSS00270	duodenal mucosa male adult (59 years)	duodenal mucosa	Digestive		#C58DAA	Tissue	DUODENUM MUCOSA	59	male	tissue			adult	Roadmap (Novel)
BSS01119	large intestine male embryo (108 days)	large intestine	Digestive		#C58DAA	Tissue	LARGE INTESTINE	108	male	tissue			embryonic	Roadmap 2015
BSS01282	mucosa of rectum female adult (50 years)	mucosa of rectum	Digestive		#C58DAA	Tissue	RECTUM MUCOSA	50	female	tissue			adult	Roadmap 2015
BSS01283	mucosa of rectum female adult (61 year)	mucosa of rectum	Digestive		#C58DAA	Tissue	RECTUM MUCOSA	61	female	tissue			adult	Roadmap 2015
BSS01601	small intestine male embryo (108 days)	small intestine	Digestive		#C58DAA	Tissue	SMALL INTESTINE	108	male	tissue			embryonic	Roadmap 2015
BSS01651	stomach male adult (34 years)	stomach	Digestive		#C58DAA	Tissue	STOMACH	34	male	tissue			adult	Roadmap 2015
BSS01850	transverse colon male adult (37 years)	transverse colon	Digestive		#C58DAA	Tissue	TRANSVERSE COLON	37	male	tissue			adult	ENCODE
BSS00271	duodenal mucosa male adult (76 years)	duodenal mucosa	Digestive		#C58DAA	Tissue	DUODENUM MUCOSA	76	male	tissue			adult	Roadmap 2015
BSS00316	esophagus female adult (30 years)	esophagus	Digestive		#C58DAA	Tissue	ESOPHAGUS	30	female	tissue			adult	Roadmap (Novel)
BSS00318	esophagus male adult (34 years)	esophagus	Digestive		#C58DAA	Tissue	ESOPHAGUS	34	male	tissue			adult	Roadmap 2015
BSS00321	esophagus muscularis mucosa female adult (53 years)	esophagus muscularis mucosa	Digestive		#C58DAA	Tissue	ESOPHAGUS MUSCULARIS MUCOSA	53	female	tissue			adult	ENCODE
BSS00325	esophagus squamous epithelium female adult (53 years)	esophagus squamous epithelium	Digestive		#C58DAA	Tissue	ESOPHAGUS SQUAMOUS EPITHELIUM	53	female	tissue			adult	ENCODE
BSS01284	mucosa of stomach male adult (59 years)	mucosa of stomach	Digestive		#C58DAA	Tissue	STOMACH MUCOSA	59	male	tissue			adult	Roadmap 2015
